Date,Time,Temperature,Humidity,SoilCondition
2023-11-05,20:07:25,29.0,54.2,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:07:26,29.0,54.2,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:07:27,28.9,54.2,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:07:28,28.9,54.2,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:07:29,29.1,54.1,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:07:31,29.1,54.1,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:07:32,29.0,54.1,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:07:33,29.0,54.1,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:07:34,29.1,54.1,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:07:35,29.1,54.1,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:07:36,29.1,54.1,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:07:37,29.1,54.1,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:07:39,29.1,54.0,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:07:40,29.1,54.0,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:07:41,29.1,54.0,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:07:42,29.1,54.0,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:07:43,29.1,54.0,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:07:44,29.1,54.0,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:07:45,29.0,53.9,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:07:47,29.0,53.9,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:07:48,29.1,53.9,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:07:49,29.1,53.9,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:07:50,29.2,53.8,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:07:51,29.2,53.8,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:07:52,29.9,53.5,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:07:53,29.9,53.5,"Soil Condition: There is some moisture, Soil is medium"
